mac	eventdate	eventtime	chname	program_id	geo_location	code	sat	ts	indextime
b0431ae993eb3808679580c83915ee16	2024-01-06	19:27:31	Algeria TV	0		ELWS	ARABSAT	1709554787.5329993	
b0431ae993eb3808679580c83915ee16	2024-01-06	23:18:05	SSC 4 HD	10632		ELWS	ARABSAT	1709554787.5329993	
852489d2471301cbefc17a3ee8533dc8	2024-01-06	21:22:23	MBC2	0	[45.0, 25.0]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T21:25:15.308+00:00
b0431ae993eb3808679580c83915ee16	2024-01-06	22:59:43	MBC2	14604		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:30:16	Euronews	6354		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:35:23	MBC Max HD	12982		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	21:19:17	MBC3	65176	[39.2192, 21.5169]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T21:22:12.124+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:29:10	Al Hadath	0		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	05:59:56	CITRUSS TV	0		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	22:25:11	MBC+ Drama  HD	33058	[39.2192, 21.5169]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T22:28:06.709+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	00:23:36	MBC IRAQ	30194		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:29:09	MBC3	65139		ELWS	ARABSAT	1709554787.5329993	
b0431ae993eb3808679580c83915ee16	2024-01-06	19:27:33	Arriadia	0		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	22:28:23	Al Hayat Muslsalat	0	[39.2192, 21.5169]	ELWS	NILESAT_101&102	1709117223.6836503	2024-01-06T22:30:50.696+00:00
b0431ae993eb3808679580c83915ee16	2024-01-06	23:14:56	MBC2	14604		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	00:23:04	MBC MAX	12977		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	14:48:33	SBC HD	17265		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	14:54:38	MBC Max HD	12984		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	14:36:24	MBC Bollywood HD	25690		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:30:12	MBC+ Drama  HD	33039		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	21:06:42	MBC1	27939	[39.2192, 21.5169]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T21:09:03.798+00:00
b0431ae993eb3808679580c83915ee16	2024-01-06	19:27:41	Test TV 12	0		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	00:22:33	MBC3	65112		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	21:19:20	MBC Action	30757	[39.2192, 21.5169]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T21:22:12.124+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	21:21:26	Zee Alwan	0	[39.2192, 21.5169]	ELWS	NILESAT_101&102	1709554787.5329993	2024-01-06T21:23:48.127+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	13:07:31	Rotana Cinema HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709117223.6836503	2024-01-06T13:10:06.014+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:30:11	MBC2 HD	14597		ELWS	ARABSAT	1709554787.5329993	
917c4b6d7f2205b267027fde232a13d4	2024-01-06	00:08:15	GOBX Marhaba	0	[45.0, 25.0]	ELWS	BADR_4&6	1709117223.6836503	2024-01-06T00:11:16.933+00:00
b0431ae993eb3808679580c83915ee16	2024-01-06	22:52:40	MBC1	28154		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	14:48:37	MBC3 HD	204		ELWS	ARABSAT	1709554787.5329993	
50d36e864595f192aa69d23d52f7c8bf	2024-01-06	09:34:57	MBC4	43871	[46.7152, 24.6537]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T09:36:38.197+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	14:36:24	MBC1 HD	27932		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	14:36:21	MBC MAX	12984		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	13:07:31	Rotana Cinema HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T13:10:06.014+00:00
b0431ae993eb3808679580c83915ee16	2024-01-06	19:27:38	Test TV 5	0		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	22:07:54	Dubai TV	51084	[39.2192, 21.5169]	ELWS	BADR_4&6	1709117223.6836503	2024-01-06T22:12:07.631+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-06	19:14:00	GOBX Marhaba	0		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:29:09	MBC2	14597		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	22:08:06	Dubai Racing 3	23484	[39.2192, 21.5169]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T22:12:07.631+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	05:59:56	MBC IRAQ	30187		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	13:07:31	Rotana Cinema HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T13:10:06.014+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-06	09:35:06	ALL TV	0	[46.7152, 24.6537]	ELWS	NILESAT_101&102	1709117223.6836503	2024-01-06T09:38:09.836+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	14:36:21	Al Hadath	0		ELWS	ARABSAT	1709554787.5329993	
b0431ae993eb3808679580c83915ee16	2024-01-06	23:18:05	SSC 3 HD	14635		ELWS	ARABSAT	1709554787.5329993	
50d36e864595f192aa69d23d52f7c8bf	2024-01-06	09:34:57	MBC4	43871	[46.7152, 24.6537]	ELWS	BADR_4&6	1709117223.6836503	2024-01-06T09:36:38.197+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	14:36:21	MBC Drama	30393		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:29:11	MBC Masr	30726		ELWS	NILESAT 101&102	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:30:16	France 24 English HD	9450		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	22:24:31	MBC2	14604	[39.2192, 21.5169]	ELWS	BADR_4&6	1709554787.5329993	2024-01-06T22:26:40.595+00:00
b0431ae993eb3808679580c83915ee16	2024-01-06	19:27:29	Test	0		ELWS	ARABSAT	1709554787.5329993	
b0431ae993eb3808679580c83915ee16	2024-01-06	23:16:59	MBC Action	30758		ELWS	ARABSAT	1709554787.5329993	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-06	09:30:13	MBC Action HD	30976		ELWS	ARABSAT	1709554787.5329993	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	14:19:12	SAUDI CH For Quran HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709117223.6836503	2024-01-06T14:22:50.949+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-06	22:28:25	Al Nahar Drama	0	[39.2192, 21.5169]	ELWS	NILESAT_101&102	1709554787.5329993	2024-01-06T22:30:50.696+00:00
b0431ae993eb3808679580c83915ee16	2024-01-06	19:27:33	El Mouritania 2	0		ELWS	ARABSAT	1709554787.5329993	
b0431ae993eb3808679580c83915ee16	2024-01-06	19:27:42	Test TV 14	0		ELWS	ARABSAT	1709554787.5329993	
