mac	eventdate	eventtime	chname	program_id	geo_location	code	sat	ts	indextime
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-01	12:48:28	MBC3 HD	64698		ELWS	ARABSAT	1709076809.0243657	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-01	20:16:58	MBC Action	30547		ELWS	ARABSAT	1709076809.0243657	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-01	12:48:24	MBC2	14513		ELWS	ARABSAT	1709076809.0243657	
50d36e864595f192aa69d23d52f7c8bf	2024-01-01	15:00:55	MBC Masr 2	29546	[46.7152, 24.6537]	ELWS	NILESAT_101&102	1709076809.0243657	2024-01-01T15:03:14.277+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-01	15:02:03	Abu Dhabi TV	59885	[46.7152, 24.6537]	ELWS	BADR_4&6	1709076809.0243657	2024-01-01T15:04:15.398+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-01	15:02:16	Dubai TV	51125	[46.7152, 24.6537]	ELWS	BADR_4&6	1709076809.0243657	2024-01-01T15:04:15.398+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-01	15:02:11	Al Nahar One	0	[46.7152, 24.6537]	ELWS	NILESAT_101&102	1709076809.0243657	2024-01-01T15:04:15.398+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-01	19:06:10	MBC2	14517	[39.2192, 21.5169]	ELWS	BADR_4&6	1709076809.0243657	2024-01-01T19:07:45.342+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-01	15:01:32	Euronews	0	[46.7152, 24.6537]	ELWS	BADR_4&6	1709076809.0243657	2024-01-01T15:03:14.277+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-01	12:56:21	Asharq News Channel HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709076809.0243657	2024-01-01T12:58:11.17+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-01	13:09:49	Al Arabiya Business	0		ELWS	ARABSAT	1709076809.0243657	
50d36e864595f192aa69d23d52f7c8bf	2024-01-01	15:01:45	SSC Extra 2 HD	4719	[46.7152, 24.6537]	ELWS	BADR_4&6	1709076809.0243657	2024-01-01T15:04:15.398+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-01	20:29:10	Asharq Documentary HD	0		ELWS	ARABSAT	1709076809.0243657	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-01	19:01:34	Al Hadath	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709076809.0243657	2024-01-01T19:03:47.367+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-01	00:36:25	Alrai TV	8620	[39.2192, 21.5169]	ELWS	NILESAT_101&102	1709076809.0243657	2024-01-01T00:38:35.163+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-01	16:11:16	HYA	0	[39.2192, 21.5169]	ELWS	NILESAT_101&102	1709076809.0243657	2024-01-01T18:27:14.873+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-01	19:06:07	MBC1	27740	[39.2192, 21.5169]	ELWS	BADR_4&6	1709076809.0243657	2024-01-01T19:07:45.342+00:00
