mac	eventdate	eventtime	chname	program_id	geo_location	code	sat	ts	indextime
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	01:22:16	MBC Drama	30208	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:24:40.689+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	01:09:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:11:10.528+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	00:31:51	MBC Action	30550	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:33:41.982+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	01:29:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:30:40.625+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	00:15:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:18:20.094+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	00:09:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:10:44.158+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	00:29:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:30:37.264+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	00:35:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:37:38.783+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	01:31:51	MBC Action	30704	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:34:08.091+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	00:39:24	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:40:41.463+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	00:21:51	MBC Action	30550	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:23:41.299+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	00:42:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T00:44:39.921+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	01:21:51	MBC Action	30550	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:23:37.474+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	00:25:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:27:47.549+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	01:32:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T01:34:10.847+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	01:19:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:21:09.474+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	01:32:16	MBC Drama	30208	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:35:09.635+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	01:11:51	MBC Action	30550	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:14:15.406+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	00:22:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T00:24:14.401+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	00:02:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T00:04:39.598+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	00:45:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:47:42.101+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	01:02:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T01:04:19.966+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	00:32:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T00:34:44.148+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	00:05:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:07:46.78+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	00:41:51	MBC Action	30550	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:43:39.497+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	00:01:51	MBC Action	30550	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:04:16.685+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	01:25:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:28:05.602+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	00:51:51	MBC Action	30550	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:53:42.312+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	00:59:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:01:12.955+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	01:12:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T01:14:15.406+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	01:01:51	MBC Action	30550	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:04:17.568+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	01:05:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:07:46.776+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	00:52:16	MBC Drama	30348	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:55:09.848+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	00:12:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T00:14:11.011+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	01:15:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:17:44.606+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	00:55:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:58:09.277+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	00:11:51	MBC Action	30550	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:14:06.801+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	01:22:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T01:24:38.236+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-02	00:52:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709076809.0243657	2024-01-02T00:54:36.081+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	00:42:16	MBC Drama	30348	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:45:13.33+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	00:19:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:20:39.23+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	00:37:33			[39.2192, 21.5169]	SSTART		1709076809.0243657	2024-01-02T00:39:46.969+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	01:12:16	MBC Drama	30208	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:14:39.545+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	01:02:16	MBC Drama	30208	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T01:04:43.473+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	00:49:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709076809.0243657	2024-01-02T00:51:15.999+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	11:19:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T15:20:20.541+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	05:39:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T05:40:38.248+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	07:21:51	MBC Action	30559	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T07:24:07.371+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	03:01:51	MBC Action	30706	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T03:04:06.184+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-02	22:58:44	MBC Action HD	30578		SALIVE	ARABSAT	1709077926.633624	
bda326f89bce77e65a79c04cd2970abe	2024-01-02	13:22:58	Al Arabiya	25026		SALIVE	ARABSAT	1709077926.633624	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-02	21:48:59	MBC Action HD	30577		SALIVE	ARABSAT	1709077926.633624	
917c4b6d7f2205b267027fde232a13d4	2024-01-02	16:45:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T16:48:24.424+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	20:19:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T21:47:47.35+00:00
4136b85db09a646f2fb83c341556c940	2024-01-02	19:49:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T21:47:47.35+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	07:15:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T07:18:14.593+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	15:22:16	MBC1	27762	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T15:25:11.868+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-02	12:31:51	MBC Action	30567	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T12:34:12.12+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	19:02:16	MBC1	27767	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T19:04:40.428+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	13:15:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T13:27:12.858+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	16:12:16	MBC1	27763	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T16:14:33.298+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-02	22:22:00	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709077926.633624	
d0ebccafea584c0612b5ed708589005d	2024-01-02	07:40:25	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709077926.633624	
b0431ae993eb3808679580c83915ee16	2024-01-02	02:17:47	MBC1	27748		SALIVE	ARABSAT	1709077926.633624	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-02	15:12:16	MBC1	27762	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T15:14:45.91+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-02	13:51:24	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709077926.633624	
4de5d928230506096ebe5acbb6d956f3	2024-01-02	20:21:51	MBC Action	30576	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T20:24:06.651+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-02	04:35:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709077926.633624	2024-01-02T04:54:38.364+00:00
