mac	eventdate	eventtime	chname	program_id	geo_location	code	sat	ts	indextime
50d36e864595f192aa69d23d52f7c8bf	2024-01-05	06:22:59	ALSahraa HD	0	[46.7152, 24.6537]	SALIVE	NILESAT_101&102	1709081252.5280542	2024-01-05T06:24:34.36+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-05	20:12:24	MBC+ Drama  HD	33347	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709081252.5280542	2024-01-05T20:14:51.082+00:00
4de5d928230506096ebe5acbb6d956f3	2024-01-05	07:31:51	MBC Action	30956	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709081252.5280542	2024-01-05T07:34:35.264+00:00
917c4b6d7f2205b267027fde232a13d4	2024-01-05	20:15:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709081252.5280542	2024-01-05T20:17:38.464+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-05	19:52:24	MBC+ Drama  HD	33346	[39.2192, 21.5169]	SALIVE	BADR_4&6	1709081252.5280542	2024-01-05T19:54:43.028+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-05	04:20:51	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709081252.5280542	
917c4b6d7f2205b267027fde232a13d4	2024-01-05	03:15:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709081252.5280542	2024-01-05T03:18:13.213+00:00
bda326f89bce77e65a79c04cd2970abe	2024-01-05	15:43:48	Al Arabiya	25140		SALIVE	ARABSAT	1709081252.5280542	
bda326f89bce77e65a79c04cd2970abe	2024-01-05	19:00:09	Al Arabiya	25143		SALIVE	ARABSAT	1709081252.5280542	
4de5d928230506096ebe5acbb6d956f3	2024-01-05	06:01:51	MBC Action	30954	[46.7152, 24.6537]	SALIVE	BADR_4&6	1709081252.5280542	2024-01-05T06:04:41.716+00:00
4136b85db09a646f2fb83c341556c940	2024-01-05	02:59:22	SSC Extra 1 HD	0	[21.0362, 52.2394]	SALIVE	BADR_4&6	1709081252.5280542	2024-01-05T07:34:38.982+00:00
d0ebccafea584c0612b5ed708589005d	2024-01-05	09:51:24	SSC Extra 1 HD	0		SALIVE	ARABSAT	1709081252.5280542	
917c4b6d7f2205b267027fde232a13d4	2024-01-05	01:35:10	SSC Extra 2	0	[45.0, 25.0]	SALIVE	BADR_4&6	1709081252.5280542	2024-01-05T01:37:46.251+00:00
