mac	eventdate	eventtime	chname	program_id	geo_location	code	sat	ts	indextime
b0431ae993eb3808679580c83915ee16	2024-01-07	02:11:00				SSTAND		1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	22:55:01			[39.2192, 21.5169]	SSTAND		1709118372.764253	2024-01-07T22:57:09.829+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	17:36:20				SSTAND		1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	05:04:47			[39.2192, 21.5169]	SSTAND		1709118372.764253	2024-01-07T05:06:42.379+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-07	19:07:08			[46.7152, 24.6537]	SSTAND		1709118372.764253	2024-01-07T19:08:40.034+00:00
bda326f89bce77e65a79c04cd2970abe	2024-01-07	22:20:51				SSTAND		1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	00:02:29	MBC1	27943	[39.2192, 21.5169]	ELWS	BADR_4&6	1709554787.5329993	2024-01-07T00:05:10.29+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	00:02:29	MBC1	27943	[39.2192, 21.5169]	ELWS	BADR_4&6	1709117223.6836503	2024-01-07T00:05:10.29+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	19:49:11	MBC3	65336	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T19:51:34.959+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:44:30	SSC News HD	24353		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:05	SSC News HD	24493		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:25:48	MBC Action	30827	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T20:28:50.112+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:08	SSC Extra 2 HD	4760		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:44:30	SSC 1 HD	18834		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:06	MBC IRAQ HD	30035		ELWS	ARABSAT	1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	22:10:01	Al Emarat TV	21626	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T22:14:08.89+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:36:25	MBC1	28160		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:03	Al Arabiya HD	25211		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	22:33:32	MBC3	65346	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T22:55:16.964+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:09	MBC3 HD	65346		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:35	SSC 5 HD	17239		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:25	MBC1	28007		ELWS	ARABSAT	1709118372.764253	
50d36e864595f192aa69d23d52f7c8bf	2024-01-07	11:21:40	MBC Drama	30629	[46.7152, 24.6537]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T11:24:11.766+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:05	SSC 1 HD	18963		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	17:18:27	MBC3	65329	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T17:20:38.162+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	22:00:10	Sada El Balad Drama	0	[39.2192, 21.5169]	ELWS	NILESAT_101&102	1709118372.764253	2024-01-07T22:03:14.282+00:00
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:44:19	Sama Dubai	45144	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:43:14.016+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	22:00:04	Syria Drama	0	[39.2192, 21.5169]	ELWS	NILESAT_101&102	1709118372.764253	2024-01-07T22:02:10.415+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	09:13:12	SAUDI CH For Sunnah HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T09:16:11.62+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:06	beIN SPORTS HD	0		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:06	Al Arabiya HD	25224		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:35	SSC Extra 1 HD	6152		ELWS	ARABSAT	1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	19:49:13	MBC3	65336	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T19:51:34.959+00:00
852489d2471301cbefc17a3ee8533dc8	2024-01-07	22:09:10	MBC3	65345	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T22:11:41.491+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	19:52:56	MBC Masr	30751	[39.2192, 21.5169]	ELWS	NILESAT_101&102	1709118372.764253	2024-01-07T19:54:34.241+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:05	Euronews	0		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:04	SSC 2 HD	14636		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:34	SSC 1 HD	18834		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:05	Asharq Documentary HD	0		ELWS	ARABSAT	1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	08:46:36	SAUDI CH For Quran HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T08:49:09.923+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:06	SSC News HD	24493		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:30	MBC4 HD	44004		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:37:50	Dubai One	4902	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:43:14.016+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:02	MBC Bollywood HD	25704		ELWS	ARABSAT	1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	19:53:30	Al Hayat Muslsalat	0	[39.2192, 21.5169]	ELWS	NILESAT_101&102	1709118372.764253	2024-01-07T19:56:09.802+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:44:29	SSC 4 HD	10639		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	22:56:57	MBC2	14618	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T22:59:33.56+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	14:40:25	SAUDI CH For Sunnah HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T14:43:13.155+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	19:49:12	MBC2	14692	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T19:51:34.959+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:36:24	SSC News HD	24493		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:37:47	Abu Dhabi TV	60542	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:43:14.016+00:00
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:37:16	MBC Bollywood	25553	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:42:34.961+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:27	Al Hadath	0		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:00	SSC Extra 2 HD	4760		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:05	Euronews	6510		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:05	France 24 Arabic HD	10727		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:08	MBC4 HD	44281		ELWS	ARABSAT	1709118372.764253	
b0431ae993eb3808679580c83915ee16	2024-01-07	03:01:52	Saudi 1 HD	60726		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:34:13	MBC1	28006	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:42:34.961+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:44:27	SSC Extra 1 HD	6152		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:01	MBC1 HD	28160		ELWS	ARABSAT	1709118372.764253	
50d36e864595f192aa69d23d52f7c8bf	2024-01-07	11:21:37	MBC1	0	[46.7152, 24.6537]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T11:24:11.766+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:44:30	SSC 2 HD	14640		ELWS	ARABSAT	1709118372.764253	
50d36e864595f192aa69d23d52f7c8bf	2024-01-07	11:00:10	ALSahraa HD	0	[46.7152, 24.6537]	ELWS	NILESAT_101&102	1709118372.764253	2024-01-07T11:02:10.042+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:03	MBC+ Variety HD	21799		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:37:25	Wanasah	10138	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:43:14.016+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:30	MBC+ Drama  HD	33386		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:35	SSC 3 HD	14547		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:28	Asharq News Channel HD	0		ELWS	ARABSAT	1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	19:49:51	MBC4	44278	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T19:51:34.959+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:44:29	SSC 2 HD	14640		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:37:29	Al Arabiya	25211		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:35	SSC 4 HD	10639		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:06	MBC Action HD	30829		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:34:25	MBC4	44279	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:42:34.961+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:04	France 24 English HD	0		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:44:28	SSC 4 HD	10639		ELWS	ARABSAT	1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	02:02:12	SAUDI CH For Sunnah HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T02:04:41.444+00:00
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:45:30	Al Jadeed	0	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:43:14.016+00:00
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:37:35	Euronews	6564	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:43:14.016+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:09	Wanasah	10138		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:03	SSC 5 HD	17245		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:03	MBC Action HD	30992		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:36:24	beIN SPORTS HD	0		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:44:33	Al Emarat TV	21624	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:43:14.016+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:27	CITRUSS TV	0		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:44:28	SSC 3 HD	14547		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:03	SSC Extra 1 HD	6178		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:37:27	MBC2	14611		ELWS	ARABSAT	1709118372.764253	
b0431ae993eb3808679580c83915ee16	2024-01-07	14:24:02	Saudi 1 HD	60511		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	17:18:59	MBC Drama	30459	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T17:21:42.868+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:28	MBC IRAQ	30034		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:06	SSC 1 HD	18828		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:07	MBC Max HD	13009		ELWS	ARABSAT	1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	15:14:01	MBC1	28164	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T15:16:14.64+00:00
50d36e864595f192aa69d23d52f7c8bf	2024-01-07	10:39:04	GOBX Marhaba	0	[46.7152, 24.6537]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T10:42:10.754+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	02:02:38	SAUDI CH For Sunnah HD	0	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T02:04:41.444+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:32	France 24 Arabic HD	10770		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:33	SBC HD	17320		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:28	MBC Masr 2	29684		ELWS	NILESAT 101&102	1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	22:11:50	MBC IRAQ	30035	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T22:14:08.89+00:00
852489d2471301cbefc17a3ee8533dc8	2024-01-07	22:24:07	MBC3	65345	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T22:55:16.964+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:36:24	SSC 1 HD	18963		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	17:18:31	MBC4	43998	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T17:20:38.162+00:00
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:44:58	KTV 1	58521	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:43:14.016+00:00
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	22:10:04	KTV 1	58525	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T22:14:08.89+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:38	SBC HD	17308		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	14:00:04	SSC 3 HD	14643		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:35:15	MBC IRAQ	30033	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:42:34.961+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:30	MBC Drama HD	30463		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:02	MBC+ Drama  HD	33372		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:34	SSC 2 HD	14640		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:04	AlThaqafeya HD	4115		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	11:38:00	MBC Masr	30594		ELWS	NILESAT 101&102	1709118372.764253	
847a8a2ebff35d50d7ff8daf410a4f05	2024-01-07	19:49:53	MBC MAX	13008	[39.2192, 21.5169]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T19:51:34.959+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:27	MBC MAX	13009		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:30	MBC Bollywood HD	25554		ELWS	ARABSAT	1709118372.764253	
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	21:43:36	SSC Extra 2 HD	4761		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	20:35:05	Al Arabiya	25221	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T21:42:34.961+00:00
87cf2fb93c9b2b05b4e658580c2f376f	2024-01-07	22:39:03	SSC News HD	24499		ELWS	ARABSAT	1709118372.764253	
852489d2471301cbefc17a3ee8533dc8	2024-01-07	17:18:55	MBC Action	30995	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T17:21:42.868+00:00
852489d2471301cbefc17a3ee8533dc8	2024-01-07	14:42:18	MBC2	0	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T14:44:18.288+00:00
852489d2471301cbefc17a3ee8533dc8	2024-01-07	16:24:31	MBC Action	30995	[45.0, 25.0]	ELWS	BADR_4&6	1709118372.764253	2024-01-07T16:26:16.219+00:00
